Agent,Location_ID,Distance,Priority,Total_Distance
Agent_1,12d1b4294fef21016c9614eb31e55e15,5,High,1354
Agent_1,e255bea28fdeb105b85a23947349cca5,10,High,1354
Agent_1,230c0d740401730c7197d16376893525,13,High,1354
Agent_1,79de53946db384e2d7a9bd131792ad17,15,High,1354
Agent_1,e3109970a3fe8021d5ff82c577ce5606,19,High,1354
Agent_1,f681356046d9fde60e70c73a18d65ea2,20,High,1354
Agent_1,ae76a4650235ab18764708174f1da31e,25,High,1354
Agent_1,eabebad39a88bb6f5b52376faec28612,30,High,1354
Agent_1,1f1c7bf1c9b041b292af6c1c4470b753,33,High,1354
Agent_1,879864dab9bc3047522c92c82e1212b8,35,High,1354
Agent_1,af9d76931724cedc3b32de0c5aabcc8a,37,High,1354
Agent_1,cc32707d2e2f7c92ab449f9b28154809,41,High,1354
Agent_1,c67de3b27c091f07a35cd57362cf225e,43,High,1354
Agent_1,8891eb5ca0e28df961b2b5b8f3c0eb23,44,High,1354
Agent_1,23ff88906d6e5bfbb904867f888b3658,45,High,1354
Agent_1,784c407781aa34749a388c9283782b56,47,High,1354
Agent_1,a6c49eaa9ed575df1a3476b20668ab3b,48,High,1354
Agent_1,7897c2b0a7cb0636ec2d75020c14c1a5,14,Medium,1354
Agent_1,6f92779347724b67e44e3224f3b4cffd,18,Medium,1354
Agent_1,9fb35e4ed6f0a14a4977cd9aea4042bb,21,Medium,1354
Agent_1,66cc929741c3d1d277e05b4540bf9a8c,23,Medium,1354
Agent_1,41c8f4b570869791379a925899a6af8a,24,Medium,1354
Agent_1,faafae37ddb3e4af81c10a397bcca35f,26,Medium,1354
Agent_1,b2d1536598b73a9abd18e0d75d92f0a3,30,Medium,1354
Agent_1,49d0ea0986edde72da777f15456a0ee0,36,Medium,1354
Agent_1,db781c2a257ae6fb647104d94c9af367,36,Medium,1354
Agent_1,f7cb015ff73be957ee6a30e2577742c5,41,Medium,1354
Agent_1,d387341bbce5ab96e3647bb0e8d0b55a,43,Medium,1354
Agent_1,8264e3518163dd09211870b24a5d741d,48,Medium,1354
Agent_1,e0eea8f69a457b3f1fa246e44c9ebefd,50,Medium,1354
Agent_1,560829a36d563e8395cc073071a02bfd,9,Low,1354
Agent_1,a02f66c3af7b16eec19ddcd98b645fe3,11,Low,1354
Agent_1,4f2d8ab171c80ec8364f7c12e35b23ad,13,Low,1354
Agent_1,fd826e7cf63160e536e0908c76c3f441,16,Low,1354
Agent_1,b514422efcf14bef34858a0829bef189,16,Low,1354
Agent_1,2f79ca5a979f66eb36747f4b354be942,19,Low,1354
Agent_1,97e126f19a6f04b3462619f36862bcd2,20,Low,1354
Agent_1,4fa19f7da692e6bf9602aaad3c372eda,22,Low,1354
Agent_1,dc53883e94804c81b4afdf2c23478d97,26,Low,1354
Agent_1,5a3260cfde2a918b597dada7ddd247bb,32,Low,1354
Agent_1,2938121a40a20953c43caa8c98787fcb,36,Low,1354
Agent_1,469634941c27cd844170935a3cf60b95,37,Low,1354
Agent_1,a905baa530258422594f1b05615bd225,39,Low,1354
Agent_1,06b8999e2fba1a1fbc88172c00ba8bc7,43,Low,1354
Agent_1,f4b8696f625adaeef763cc9cd712c921,46,Low,1354
Agent_1,b2b6027bc5c5109e529d4dc6358b12c3,49,Low,1354
Agent_2,0fd53cbc9dc85be3e9d7c6e74bc957a5,6,High,1367
Agent_2,690172ab319622688d3b4df42f676898,12,High,1367
Agent_2,f9dfa0a2934ffbb22e66924952548be8,13,High,1367
Agent_2,f6529ffebe6b3440d45d89604a4239ac,15,High,1367
Agent_2,df85b96ba2ce3e49bde101b1614f52ac,19,High,1367
Agent_2,4cc465bb8ccb079ba561852ffa794668,20,High,1367
Agent_2,b2bed119388167a954382cca36c4777f,27,High,1367
Agent_2,f34a6e874087ec1f0e3dab9fdf659c5d,30,High,1367
Agent_2,8247b5583327ab8be19f96e1fb82f77b,33,High,1367
Agent_2,5e274e7a0c3809e14aba7ad5aae0d407,37,High,1367
Agent_2,cb96e80748675729d4d3857321cacb26,37,High,1367
Agent_2,2f97782bbc64b71cba9e79d12757479b,41,High,1367
Agent_2,6e359a57a91f84095cc64e1b351aef8c,44,High,1367
Agent_2,05323a24770d4897bba59aab79f6d7b0,44,High,1367
Agent_2,f46e1689a2c6031af912a19a489a6329,45,High,1367
Agent_2,154c4ded6991bdfa3cd249d11abf4130,48,High,1367
Agent_2,f89c1a6b9c966869e441e55bc14acddc,7,Medium,1367
Agent_2,91ec76836092bba85d11761078ed7bb5,10,Medium,1367
Agent_2,19cecb194f54e614b70d971306a9931b,12,Medium,1367
Agent_2,9b7822c67a91b431e9254007b587214d,13,Medium,1367
Agent_2,206f3129c0e4d7d0b9550426023f0a08,15,Medium,1367
Agent_2,b64ed91eab98972150bdaf77ca921934,19,Medium,1367
Agent_2,670254dd2e886ffe621b3831afb47d7d,23,Medium,1367
Agent_2,7e468d618e16c6e1373fb2c4a522c969,23,Medium,1367
Agent_2,a1b9e0e44dbb043645cd14b00849a705,25,Medium,1367
Agent_2,d6ea00d4a2dca6a01c708931b325a9e5,26,Medium,1367
Agent_2,4c7241af24b5344cb01fe687643de4fe,30,Medium,1367
Agent_2,2d5831cb2dff7cdefba62e950ae3dc7b,36,Medium,1367
Agent_2,6c9a5923526346cbc0bd7bbd92269c01,37,Medium,1367
Agent_2,f7c5afab273b47ab517e096e0219b932,41,Medium,1367
Agent_2,c168abb9077b7821adae01dc1f0886c5,45,Medium,1367
Agent_2,4e7b3e00288586ebd08712fdd0374a03,49,Medium,1367
Agent_2,4a0e66fd30684aa1409cd1b66fec77cc,5,Low,1367
Agent_2,ab23bc8d29aaf7a3978d8e819817575b,5,Low,1367
Agent_2,18955e83d337fd6b2def6b18a428ac77,7,Low,1367
Agent_2,cb721d7b4f271fd87011c4c83462c076,7,Low,1367
Agent_2,167bd30a409e3e4127df5a9408ebd394,8,Low,1367
Agent_2,a562ab1e728449e3461829dfe2e36f73,8,Low,1367
Agent_2,0aae2862f8eac77f10a34f44860720ac,10,Low,1367
Agent_2,eb67e9bd3357fbacdbef99759f919573,11,Low,1367
Agent_2,9b8ce803689b3562defaad4613ef426f,14,Low,1367
Agent_2,54f755c3fd2709231f9964a1430c5218,16,Low,1367
Agent_2,6d27a9361e591da38c87a5e70253f3f2,18,Low,1367
Agent_2,c5c61596a3b6bd0cee5766992c48a9a1,20,Low,1367
Agent_2,1b2cb35b19b40b61f953d32ea157b337,20,Low,1367
Agent_2,26acee41e2f75689a5615892f06ea0bd,25,Low,1367
Agent_2,443b534d0d27a8aa9a184d4869bcbe7a,28,Low,1367
Agent_2,5f8b4882b5a4ec7bf6d2107e6cd0cf29,32,Low,1367
Agent_2,bf60fa574e188373d3cb331d04aeb4f1,36,Low,1367
Agent_2,4d27341acd30a36bca39008ee9bb9050,37,Low,1367
Agent_2,8392e3d4cfeec63f2a8bfea68bf1f91f,39,Low,1367
Agent_2,6810c3dc47f641181fcc7f73275c3d19,43,Low,1367
Agent_2,53b6d45cb9684a4b93e0ba2030222456,47,Low,1367
Agent_2,09241c552e9fe2420997a6c535e9d408,49,Low,1367
Agent_3,237098a64674ae89babdc426746260fc,9,High,1386
Agent_3,b6368ca0f56d4632f44d58ca431487b2,12,High,1386
Agent_3,ea2196dc456ba36fe4f6b81dca4867d4,13,High,1386
Agent_3,530220145a68ef57f0cc54faf1061f8c,18,High,1386
Agent_3,f0bbb754a5855f669094d5049c09c548,19,High,1386
Agent_3,369708cabd9831ea6fde670a3b602a92,21,High,1386
Agent_3,a3b0fda37bae14cf754877bed475e80c,27,High,1386
Agent_3,aa9f03ecd3728c9bd12e6d962c66c7cb,30,High,1386
Agent_3,e32daa14dfa90eff675034dc7d462cf3,34,High,1386
Agent_3,df0aa5b8586495e0ddf6b601122e43a1,37,High,1386
Agent_3,6bed27564bd99d78d09c1fac13da56fd,40,High,1386
Agent_3,5adf08e34b2e993982a47070956c5c65,42,High,1386
Agent_3,126cf4e9fd189d2d64bc9b112fd6a5e8,44,High,1386
Agent_3,ee3a81b2771fec5f9e982cdb1b3a4804,45,High,1386
Agent_3,c532a74a3ebf1bacce2e2bcce3783317,47,High,1386
Agent_3,3f6ede29d4c69cd3316d2035b6cec1fb,48,High,1386
Agent_3,b80adce6a72fc096b80a540312a24a95,10,Medium,1386
Agent_3,1f6ba909178c5b0e523cabcadb617a4c,12,Medium,1386
Agent_3,8276de07ef25225d412b8462d73f8664,14,Medium,1386
Agent_3,c132855c926907970dcf6f2bf0b33a24,16,Medium,1386
Agent_3,8fcaa9368903f3a9a28aeaff28c14638,19,Medium,1386
Agent_3,e50a30de3c32f9406a7185f40ce6874d,23,Medium,1386
Agent_3,a7c125a0a07b75146167b7f04a7f8e98,24,Medium,1386
Agent_3,acca74d2a60c03b46a5256c02cef9244,25,Medium,1386
Agent_3,aa0fbd830c89acc3d79d311ff43d0920,28,Medium,1386
Agent_3,8e13b94866f3b17a0b57139b90df1a4e,32,Medium,1386
Agent_3,38d1cd89306128348ffdf4cc23f3a50a,36,Medium,1386
Agent_3,de4e13fd7d6469c5ada77d0843c55e42,38,Medium,1386
Agent_3,ad6891a1937cb8723a2c08ba1ae59873,43,Medium,1386
Agent_3,03f846ad03437d864a8d2a22976dcafe,47,Medium,1386
Agent_3,23e96758fd640560e9b1fbcda90abfc4,49,Medium,1386
Agent_3,7300450cedf7e4c35c243c4a03c1e8a6,7,Low,1386
Agent_3,d3b6830d18c7de943d1e707d1f061d40,8,Low,1386
Agent_3,261cb4f92498ca05d5bd1a327a261d9c,9,Low,1386
Agent_3,8d1b923f85a34afac5bd669d50417602,10,Low,1386
Agent_3,a9b0d1c26105279e1b8edc63d06bd668,12,Low,1386
Agent_3,39c9dc82d5f60eb1ee8bc4fe4aa29dc6,15,Low,1386
Agent_3,7ab7a537b678b6dd73d825ff6ee7be9d,16,Low,1386
Agent_3,70a8cfb1730fd53e5c15f2a62e1e5448,18,Low,1386
Agent_3,0ccd415657ae8a6cd1c71b00155a019e,20,Low,1386
Agent_3,4b7139f34592b3a31687243a302fa75b,22,Low,1386
Agent_3,3ccb27f9c7ee205656acef98c19fc061,25,Low,1386
Agent_3,5aa9e4fdd4dfd20959cad2d772509598,31,Low,1386
Agent_3,b0964d76975dbc174b623b5a300973d5,34,Low,1386
Agent_3,8b47e5ba29a9cd9947ee6be2f025ed66,36,Low,1386
Agent_3,fe6d73ac006153a398439253006e5adc,37,Low,1386
Agent_3,c82a5e4fafdbeb34f08928ccfba27d14,40,Low,1386
Agent_3,4c06b42fbf7b97ab10779cda5549cd1c,46,Low,1386
Agent_3,f64cdee66599119324ce57a97e43700d,48,Low,1386
Agent_3,eb03682e1118b3af176b229932bfa8be,50,Low,1386
